"Guid","SBQQ__LookupField__c","SBQQ__MatchType__c","SBQQ__Operator__c","SBQQ__PriceRule2__c","SBQQ__ProductRule__c","SBQQ__TestedField__c","SBQQ__TestedObject__c","SBQQ__TestedValue__c"
0050c537-04e7-42cd-8c35-70dbbf185924,Resource_Location__c,Field Value,equals,e29d5839-de13-4e26-b762-5f9916c2357b,"#N/A",Resource_Location__c,Quote Line,"#N/A"
026f1922-6e18-4e39-b67c-650d0ff632ad,Approval_Level__c,Static Value,equals,6f35e2d9-5a9b-4075-83c3-69e9a04138e3,"#N/A","#N/A","#N/A",1
03d35bd8-fa76-4ca5-bfb9-c8869989e1fd,Product__c,Field Value,equals,be1394c8-62c4-4915-9fc7-46839cbbaeaf,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
1c973512-17a1-4752-9e57-87f2128db1ab,Engineering_Options__c,Field Value,equals,d2ea8536-cbf1-4c26-ad7e-5dd57ec652dc,"#N/A",Engineering_Options__c,Quote Line,"#N/A"
1e9dcace-5967-4527-969d-a37182ec0258,Product__c,Field Value,equals,11c71422-b7a1-4f0d-9552-9cfa1422c882,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
2105cd27-2787-4c80-a687-29a04616625a,Threshold_Type__c,Static Value,equals,c3a4307f-7791-4a44-9cf3-8b174e669de4,"#N/A","#N/A","#N/A",Discount
253bc1a8-a79e-46ef-800a-9b7768e194ed,Role__c,Field Value,equals,79397340-309a-477a-8992-4b5c818e4425,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
2c5f7445-4ed7-4d25-922d-074a09e54f80,Approval_Level__c,Static Value,equals,13a95dfc-d6ab-493a-9d27-01619a86531f,"#N/A","#N/A","#N/A",2
33840542-a558-4916-b321-b6ec57842099,Threshold_Type__c,Static Value,equals,11c71422-b7a1-4f0d-9552-9cfa1422c882,"#N/A","#N/A","#N/A",Discount
346c69ac-5c2d-4c03-9917-9137588a359b,Product__c,Field Value,equals,a2ac9be9-0ef4-4d74-bc44-b796cfe62ceb,"#N/A",SBQQ__Product__c,Quote Line,"#N/A"
373cc6dd-bc97-41dd-b182-6f238b3b5bb8,Approval_Level__c,Static Value,equals,d1a8b364-2102-4a67-a686-02ea0ec7f554,"#N/A","#N/A","#N/A",1
4432048a-1836-40c1-adf3-f581f1263d59,Approval_Level__c,Static Value,equals,2a26567f-326f-4311-8f87-24c2b4aefef0,"#N/A","#N/A","#N/A",3
45dfa30c-1780-404c-a22a-3b0e3a7f11bb,Approval_Level__c,Static Value,equals,934a9d18-2622-40ef-8ec6-dc550ed65413,"#N/A","#N/A","#N/A",2
